keyword,category,lifecycle,search_index_w,is_surging,inc_views_w,inc_participants_w,total_views_yi,total_participants_w,inc_engagement_pct,total_engagement_pct,inc_ratio_pct,competition_pct,priority,recommend_for,action_note
穿搭灵感,灵感,萌芽期,,0,6289.1,1.6,,,0.03,,,,低,标签,话题标签：穿搭灵感（参与率0.03%）
穿搭bot,灵感,萌芽期,,0,6208.3,2.5,,,0.04,,,,低,标签,话题标签：穿搭bot（参与率0.04%）
不费力的穿搭,风格,萌芽期,,0,5460.6,2.4,,,0.04,,,,低,风格,穿搭方向：不费力的穿搭（萌芽期，增占比0%）
女装,品类参考,萌芽期,,0,5282.9,0.5673,,,0.01,,,,低,选品,可备选：女装
每天一个穿搭灵感,灵感,萌芽期,,0,5219.3,1.9,,,0.04,,,,低,标签,话题标签：每天一个穿搭灵感（参与率0.04%）
东方美学,风格,萌芽期,,0,5154.7,2.0,,,0.04,,,,低,风格,穿搭方向：东方美学（萌芽期，增占比0%）
健身穿搭,场景,萌芽期,,0,5122.1,2.6,,,0.05,,,,低,风格,穿搭方向：健身穿搭（萌芽期，增占比0%）
韩系,风格,萌芽期,,0,4932.9,1.4,,,0.03,,,,低,风格,穿搭方向：韩系（萌芽期，增占比0%）
今天穿什么,概念,萌芽期,,0,4908.6,2.0,,,0.04,,,,低,风格,穿搭方向：今天穿什么（萌芽期，增占比0%）
浅春系穿搭,季节,萌芽期,,0,4899.4,2.4,,,0.05,,,,低,风格,穿搭方向：浅春系穿搭（萌芽期，增占比0%）
穿搭技巧,灵感,萌芽期,,0,4712.1,0.727,,,0.02,,,,低,标签,话题标签：穿搭技巧（参与率0.02%）
穿搭分享,灵感,萌芽期,,0,4655.4,2.2,,,0.05,,,,低,标签,话题标签：穿搭分享（参与率0.05%）
显瘦穿搭,概念,成熟期,,0,18000.0,7.0,528.8,1284.6,0.04,0.02,0.34,29.7,低,风格,穿搭方向：显瘦穿搭（成熟期，增占比0.34%）
小个子穿搭,人群,成熟期,,0,17000.0,7.5,472.2,1362.7,0.04,0.03,0.36,34.5,低,风格,穿搭方向：小个子穿搭（成熟期，增占比0.36%）
气质穿搭,风格,成熟期,,0,6874.1,1.8,241.4,755.4,0.03,0.03,0.28,10.1,低,风格,穿搭方向：气质穿搭（成熟期，增占比0.28%）
甜妹,风格,成熟期,,0,5647.8,1.2,133.3,277.5,0.02,0.02,0.42,5.6,低,风格,穿搭方向：甜妹（成熟期，增占比0.42%）
牛仔裤,品类参考,成熟期,122.5,0,4978.4,1.8,101.3,322.5,0.04,0.03,0.49,20.4,低,综合,综合推荐：牛仔裤（搜索122.5w，增占比0.49%）
国风,风格,成熟期,,0,4887.8,0.8461,127.8,328.1,0.02,0.03,0.38,5.4,低,风格,穿搭方向：国风（成熟期，增占比0.38%）
今天穿什么香,概念,成熟期,,0,4668.8,0.9991,259.9,805.4,0.02,0.03,0.18,14.6,低,风格,穿搭方向：今天穿什么香（成熟期，增占比0.18%）
休闲穿搭,风格,观察,,0,,,95.6,282.9,,0.03,,4.0,低,风格,穿搭方向：休闲穿搭（观察，增占比0%）
初秋穿搭,风格,观察,,0,,,85.6,168.4,,0.02,,3.6,低,风格,穿搭方向：初秋穿搭（观察，增占比0%）
复古,风格,观察,,0,,,73.2,289.2,,0.04,,3.1,低,风格,穿搭方向：复古（观察，增占比0%）
复古穿搭,风格,观察,,0,,,102.2,363.3,,0.04,,4.3,低,风格,穿搭方向：复古穿搭（观察，增占比0%）
小个子女生穿搭,人群,观察,,0,,,135.8,219.4,,0.02,,9.9,低,风格,穿搭方向：小个子女生穿搭（观察，增占比0%）
微胖女孩穿搭,人群,观察,,0,,,141.0,214.3,,0.02,,10.3,低,风格,穿搭方向：微胖女孩穿搭（观察，增占比0%）
新中式,风格,观察,,0,,,113.6,504.5,,0.04,,4.8,低,风格,穿搭方向：新中式（观察，增占比0%）
显瘦神裤,概念,观察,,0,,,125.0,395.0,,0.03,,7.0,低,风格,穿搭方向：显瘦神裤（观察，增占比0%）
梨形身材穿搭,人群,观察,,0,,,89.4,227.0,,0.03,,6.5,低,风格,穿搭方向：梨形身材穿搭（观察，增占比0%）
秋冬穿搭,风格,观察,,0,,,444.6,1156.4,,0.03,,18.7,低,风格,穿搭方向：秋冬穿搭（观察，增占比0%）
秋季穿搭,风格,观察,,0,,,151.3,516.7,,0.03,,6.3,低,风格,穿搭方向：秋季穿搭（观察，增占比0%）
约会穿搭,场景,观察,,0,,,78.4,216.9,,0.03,,25.4,低,标签,话题标签：约会穿搭（参与率0%）
职场通勤穿搭,场景,观察,,0,,,95.5,194.2,,0.02,,30.9,低,标签,话题标签：职场通勤穿搭（参与率0%）
辣妹穿搭,风格,观察,,0,,,107.6,251.4,,0.02,,4.5,低,风格,穿搭方向：辣妹穿搭（观察，增占比0%）
韩系穿搭分享,风格,观察,,0,,,108.6,259.1,,0.02,,4.6,低,风格,穿搭方向：韩系穿搭分享（观察，增占比0%）
高个子穿搭,人群,观察,,0,,,73.5,128.2,,0.02,,5.4,低,风格,穿搭方向：高个子穿搭（观察，增占比0%）
